ListID,Presented Word,Present Position,Recalled Word,Recall Position,Reaction Time,Hit,Participant ID,Participant Group
1,KALEM,1,kalem,1.0,5.887630700000045,1,6,soc
1,EKRAN,2,,,,0,6,soc
1,YAZI,3,yazı,2.0,4.912443499999881,1,6,soc
1,ŞİŞE,4,,,,0,6,soc
1,SARI,5,,,,0,6,soc
1,KABLO,6,,,,0,6,soc
1,KÖPEK,7,köpek,3.0,13.108466000000137,1,6,soc
1,BARDAK,8,,,,0,6,soc
1,PARK,9,,,,0,6,soc
1,ÖLÇEK,10,,,,0,6,soc
1,BİNA,11,bina,4.0,3.9818445000000793,1,6,soc
1,KOLAY,12,,,,0,6,soc
1,BEYİN,13,beyin,5.0,4.106865399999606,1,6,soc
1,KALE,14,kale,6.0,2.527183900000182,1,6,soc
1,ÇANTA,15,çanta,7.0,2.5357374000000164,1,6,soc
1,RAKAM,16,,,,0,6,soc
1,AĞAÇ,17,,,,0,6,soc
1,KAĞIT,18,,,,0,6,soc
2,BÜYÜK,1,büyük,1.0,5.0538259999998445,1,6,soc
2,KAPI,2,kapı,2.0,1.988818600000286,1,6,soc
2,TAŞLIK,3,taşlık,3.0,3.73125170000003,1,6,soc
2,KAŞIK,4,kaşık,4.0,3.254295600000205,1,6,soc
2,SEHPA,5,sehpa,5.0,2.6489896999996745,1,6,soc
2,SPOR,6,spor,6.0,1.5052158999997118,1,6,soc
2,KEDİ,7,kedi,7.0,4.228777399999672,1,6,soc
2,TOPLU,8,,,,0,6,soc
2,İLAÇ,9,,,,0,6,soc
2,CÜZDAN,10,,,,0,6,soc
2,GRUP,11,,,,0,6,soc
2,KOLTUK,12,,,,0,6,soc
2,KISA,13,,,,0,6,soc
2,TERLİK,14,,,,0,6,soc
2,ELMA,15,,,,0,6,soc
2,DEFTER,16,,,,0,6,soc
2,TABAK,17,,,,0,6,soc
3,DÜĞME,1,,,,0,6,soc
3,HALI,2,,,,0,6,soc
3,ODA,3,,,,0,6,soc
3,KALAS,4,,,,0,6,soc
3,TOPRAK,5,,,,0,6,soc
3,LAMBA,6,,,,0,6,soc
3,ÇİÇEK,7,,,,0,6,soc
3,KOLA,8,,,,0,6,soc
3,DOLAP,9,,,,0,6,soc
3,DUVAR,10,,,,0,6,soc
3,KOKU,11,koku,3.0,1.8357669000001808,1,6,soc
3,YATAK,12,yatak,2.0,3.8065565000001698,1,6,soc
3,KİTAP,13,kitap,4.0,2.218934699999864,1,6,soc
3,SALÇA,14,salça,5.0,11.189847999999984,1,6,soc
3,KÜÇÜK,15,küçük,1.0,8.429612099999758,1,6,soc
3,PARKUR,16,,,,0,6,soc
3,FIRIN,17,,,,0,6,soc
4,TAHTA,1,tahta,1.0,6.054767099999936,1,6,soc
4,KALIP,2,,,,0,6,soc
4,HALKA,3,,,,0,6,soc
4,KASA,4,,,,0,6,soc
4,SULUK,5,,,,0,6,soc
4,SİLGİ,6,,,,0,6,soc
4,ÇORAP,7,,,,0,6,soc
4,DERGİ,8,,,,0,6,soc
4,PARA,9,,,,0,6,soc
4,ZEMİN,10,zemin,4.0,11.70452720000003,1,6,soc
4,BAHÇE,11,,,,0,6,soc
4,HARİTA,12,,,,0,6,soc
4,TERAS,13,teras,5.0,1.772667299999739,1,6,soc
4,MEKTUP,14,mektup,6.0,2.1601339999997435,1,6,soc
4,KUTU,15,kutu,7.0,10.733324999999695,1,6,soc
4,SIRA,16,sıra,8.0,1.3751853999997363,1,6,soc
4,MARKET,17,market,9.0,1.7131324000001769,1,6,soc
0,MASA,1,MASA,1.0,0.8263238000072306,1,6,eng
0,CAM,2,CAM,2.0,1.1846790999989023,1,6,eng
0,SU,3,SU,3.0,0.6800522999983514,1,6,eng
0,İYİLİK,4,İYİLİK,4.0,1.4431307000049856,1,6,eng
0,TÜTÜN,5,TÜTÜN,5.0,3.121520899992902,1,6,eng
0,KELİME,6,KELİME,6.0,0.8990829999966081,1,6,eng
1,BARDAK,1,,,,0,6,eng
1,KOLAY,2,,,,0,6,eng
1,RAKAM,3,,,,0,6,eng
1,ÖLÇEK,4,,,,0,6,eng
1,KALEM,5,,,,0,6,eng
1,PARK,6,,,,0,6,eng
1,KAĞIT,7,,,,0,6,eng
1,KABLO,8,,,,0,6,eng
1,BİNA,9,BİNA,4.0,0.9004184000077657,1,6,eng
1,AĞAÇ,10,AĞAÇ,5.0,0.9754104000021472,1,6,eng
1,ÇANTA,11,ÇANTA,6.0,1.335243099994841,1,6,eng
1,EKRAN,12,,,,0,6,eng
1,YAZI,13,,,,0,6,eng
1,BEYİN,14,,,,0,6,eng
1,ŞİŞE,15,,,,0,6,eng
