,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_1,AVG_CONTRAST_1,AVG_SIM_PREV_5,AVG_CONTRAST_5,PREV_SIM,STM_SEMANTIC_D,STM_MAX_SIM,STM_MAX_SIM_DIST,STM_MAX_SIM_POS,UNIQUENESS,PRESENT_ZONE,SAME_CLUSTER_IN_Z1,SAME_CLUSTER_IN_Z2,SAME_CLUSTER_IN_Z3,SAME_CLUSTER_IN_Z1_COUNT,SAME_CLUSTER_IN_Z2_COUNT,SAME_CLUSTER_IN_Z3_COUNT,CATEGORY_IN_STM_4,CATEGORY_IN_STM_1,CLUSTER,P_ID
2396,4,MARKET,14,0,soc,0.7216362036201042,12.0,0.45404855151860135,0.5194729410673847,0.2933163340894341,0.46758693725375144,0.45404855151860135,1.1717951425098472,0.6632277689878967,2,11,0.5386692317554393,3,1,0,1,2,0,2,1,1,5,soc15
2397,4,TERAS,15,0,soc,0.7799382870425406,8.0,0.4909798771227458,0.5425515579659699,0.21249155042640452,0.49482989357034823,0.4909798771227458,2.103352979057056,0.4909798771227458,1,13,0.5844280184025328,3,0,1,1,0,1,2,0,0,3,soc15
2398,4,SULUK,16,0,soc,0.5382124150449655,10.0,0.3740309692251742,0.5670297661251049,0.3292069570154473,0.47801045234770834,0.3740309692251742,2.3566933251424347,0.4928065927334522,4,11,0.5156883816306671,3,0,0,1,0,0,1,0,0,2,soc15
2399,4,BAHÇE,17,0,soc,0.9242042644743286,2.0,0.5589713957306179,0.5854197239892239,0.51018591678693,0.44858918713883833,0.5589713957306179,2.0724664876545935,0.9242042644743286,2,14,0.4775521444834757,3,0,1,1,0,1,2,1,0,3,soc15
2406,1,MASA,1,0,soc,,,,0.6800148858517745,,0.5018714727100232,,0.0,1.0,0,0,1.0,1,1,0,1,1,0,2,0,0,0,soc14
2407,1,PARK,2,1,soc,0.27240773772874083,1.0,0.27240773772874083,0.6416979736894337,0.27240773772874083,0.5113752258441218,0.27240773772874083,0.0,0.27240773772874083,1,0,0.6800148858517745,1,1,1,0,1,1,0,0,0,3,soc14
2408,1,BARDAK,3,1,soc,0.4671443744649894,2.0,0.1621720899227609,0.630413991610996,0.3146582321938751,0.4864130730130525,0.1621720899227609,0.27240773772874083,0.4671443744649894,2,0,0.5913552879744601,1,1,1,0,1,1,0,0,0,2,soc14
2409,1,RAKAM,4,1,soc,0.27619314493617364,1.0,0.27619314493617364,0.6256013970676952,0.21068738591416544,0.5067396406734292,0.27619314493617364,0.9017242021164912,0.27619314493617364,1,2,0.6186338040038336,1,1,1,1,1,1,1,0,0,8,soc14
2410,1,BİNA,5,0,soc,0.526662887280119,3.0,0.21033660568895937,0.650508368074397,0.2990765256009335,0.4961439869179981,0.21033660568895937,1.5337863598589874,0.526662887280119,3,1,0.5201772749566118,2,1,1,0,1,1,0,1,0,3,soc14
2411,1,SARI,6,0,soc,0.31398877234069655,3.0,0.14942506978124248,0.6590199710904707,0.18640990458082107,0.551651113114991,0.14942506978124248,1.391429919099061,0.31398877234069655,3,2,0.6160817561086942,2,1,1,0,1,1,0,1,0,2,soc14
2412,1,AĞAÇ,7,0,soc,0.7102854000778898,4.0,0.20962666624132295,0.5908035553733859,0.4551726174065752,0.383257141069703,0.20962666624132295,1.2125881904130429,0.7102854000778898,4,2,0.4809245472532053,2,0,1,1,0,1,1,0,0,9,soc14
2413,1,YAZI,8,0,soc,0.7057482398165602,4.0,0.3754979357132496,0.6076946464814815,0.3123448671911333,0.4770808922836942,0.3754979357132496,1.457372183550156,0.7057482398165602,4,3,0.527688063121287,2,1,1,1,1,1,1,1,0,8,soc14
2414,1,ÇANTA,9,0,soc,0.5064377657308211,8.0,0.19881469839452814,0.6364824065921448,0.24043765820261073,0.49435159218910085,0.19881469839452814,1.4476687727789888,0.456667922479698,2,6,0.55529160251876,2,0,1,0,0,1,0,0,0,5,soc14
2415,1,BEYİN,10,0,soc,0.5113822943249875,9.0,0.2770681081099094,0.5915262685438586,0.3271055031350671,0.44119026874523315,0.2770681081099094,1.4990990338228385,0.4868718316772624,2,7,0.5096427004097988,3,0,0,1,0,0,2,0,0,6,soc14
2416,1,KAĞIT,11,0,soc,0.8790552457670859,4.0,0.4241782244223956,0.5547725678371792,0.5768960291834487,0.35808388900230126,0.4241782244223956,2.0896685714307184,0.8790552457670859,4,6,0.38481809120602284,3,0,1,1,0,1,1,1,0,9,soc14
2417,1,ÖLÇEK,12,0,soc,0.496776122821186,8.0,0.36686193996346983,0.6610565698361822,0.328486416539708,0.5053852759733022,0.36686193996346983,2.5110034719944005,0.4406669826465497,4,7,0.5493795855292494,3,0,0,1,0,0,2,0,0,1,soc14
2418,1,KÖPEK,13,0,soc,0.7030623490479981,3.0,0.05664867227195266,0.7190608166591641,0.4097754933479899,0.46729016758149766,0.05664867227195266,2.0944917359366677,0.7030623490479981,3,9,0.47698163268551586,3,0,0,1,0,0,2,1,0,6,soc14
2419,1,KALE,14,0,soc,0.4948033738522656,12.0,0.1013962364792445,0.6023507739859226,0.2310349882041204,0.5351972685610936,0.1013962364792445,2.390093680891075,0.37316492997265727,4,9,0.58096930222532,3,1,0,1,1,0,2,0,0,0,soc14
2420,1,KALEM,15,0,soc,0.7730691951070705,7.0,0.5201944127892401,0.5846920959834105,0.4617180298867035,0.46510176951895643,0.5201944127892401,1.5657953717256028,0.6893193775666414,4,10,0.43573548957325514,3,1,1,1,1,1,1,0,0,8,soc14
2421,1,KOLAY,16,1,soc,0.4734206706671342,5.0,0.09708840487306382,0.6863485460400099,0.23000855601167342,0.5682113359032186,0.09708840487306382,1.6797303758365887,0.28950066880510955,4,11,0.6119638381070331,3,0,0,1,0,0,1,0,0,7,soc14
2422,1,ŞİŞE,17,0,soc,0.9133266973789964,14.0,0.13463222087784976,0.69371571893344,0.27334379195959296,0.5312010776800954,0.13463222087784976,1.3823368275799452,0.6341294391066079,4,12,0.5371904208723013,3,1,0,1,1,0,2,1,0,0,soc14
2423,1,EKRAN,18,0,soc,0.17971877537199893,6.0,0.06668081665467362,0.779626866845603,0.06686480954288132,0.6706675090094518,0.06668081665467362,1.251248073414096,0.09029648641541374,3,14,0.6796699956385158,3,0,0,1,0,0,2,0,0,1,soc14
2424,2,SPOR,1,1,soc,,,,0.7903128470525527,,0.6880667604952454,,0.0,1.0,0,0,1.0,1,1,1,0,1,1,0,0,0,1,soc14
2425,2,KAPI,2,0,soc,0.05391813730817713,1.0,0.05391813730817713,0.5826196165010968,0.05391813730817713,0.48228822448126474,0.05391813730817713,0.0,0.05391813730817713,1,0,0.7903128470525527,1,1,0,1,1,0,2,0,0,0,soc14
2426,2,KEDİ,3,0,soc,0.6249684131058864,1.0,0.6249684131058864,0.49856721711798824,0.3271231789374433,0.4899034446945516,0.6249684131058864,0.05391813730817713,0.6249684131058864,1,1,0.594597961932878,1,1,0,0,1,0,0,0,0,6,soc14
2427,2,CÜZDAN,4,0,soc,0.6490652151450355,2.0,0.6472935879145645,0.54415445016142,0.4842316098948037,0.4212647558410787,0.6472935879145645,0.7081644951830637,0.6490652151450355,2,1,0.4608653779293961,1,1,0,1,1,0,1,0,0,5,soc14
